,undergrad,grad,source,target,job,counts
28,,MS in Quantitative Economics,23,54,Quantitative Analyst,38.35390947
29,,MS in Quantitative Economics,23,58,Compliance Manager,38.35390947
30,,MS in Artificial Intelligence,15,59,Machine Learing Engineer,38.35390947
31,,MS in Artificial Intelligence,15,60,Artificial Intelligence Research,38.35390947
32,,MS in Artificial Intelligence,15,42,Data Scientist,38.35390947
33,,MS in Artificial Intelligence,15,61,Computer Vision Engineer,38.35390947
34,,MS in Speech-Language Pathology,24,62,Speech Pathologist,38.35390947
35,,MS in Speech-Language Pathology,24,63,Pediatric Speech Pathologist,38.35390947
36,,MS in Speech-Language Pathology,24,64,Professor,38.35390947
37,,MS in Physics,22,65,Astronomer,38.35390947
38,,MS in Physics,22,66,Physicists,38.35390947
39,,MS in Physics,22,67,Aerospace Engineer,38.35390947
40,,MS in Physics,22,68,Biochemists and Biophysicists,38.35390947
41,,MS in Physics,22,69,Physics Teachers,38.35390947
42,,MS in Occupational Therapy,21,70,Occupational Therapist,38.35390947
43,,MS in Occupational Therapy,21,71,Clinic Director,38.35390947
44,,MS in Occupational Therapy,21,72,Health Specialties College Instructor,38.35390947
45,,MS in Occupational Therapy,21,73,Rehabilitation Manager,38.35390947
46,,MS in Occupational Therapy,21,74,Pediatric Occupational Therapist,38.35390947
