,undergrad,source,target,job,counts,grad
180,Psychology,29,16,,31.72839506,"MS in Biotech. Management & Entrepreneurship Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
181,Psychology,29,17,,31.15226337,"MS in Cybersecurity Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
182,Psychology,29,18,,32.01646091,"MS in Data Analytics and Visualization Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
183,Psychology,29,19,,33.16872428,"MS in Digital Marketing and Media Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
185,Psychology,29,20,,30,"MS in Mathematics Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
188,Psychology,29,24,,37.48971193,"MS in Speech-Language Pathology Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
192,Sociology,30,19,,30.57613169,"MS in Digital Marketing and Media Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
191,Sociology,30,18,,30,"MS in Data Analytics and Visualization Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
196,Sociology,30,24,,30.28806584,"MS in Speech-Language Pathology Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
0,,16,31,Product Manager,38.35390947,"MS in Biotech. Management & Entrepreneurship Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
1,,16,32,Market Manager,38.35390947,"MS in Biotech. Management & Entrepreneurship Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
2,,16,33,Clinical Trials Manager,38.35390947,"MS in Biotech. Management & Entrepreneurship Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
3,,16,34,Regulatory Affairs Specialist,38.35390947,"MS in Biotech. Management & Entrepreneurship Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
4,,16,35,Patent Manager,38.35390947,"MS in Biotech. Management & Entrepreneurship Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
5,,16,36,Business Development Specialist,38.35390947,"MS in Biotech. Management & Entrepreneurship Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
6,,17,37,Cybersecurity Engineer,38.35390947,"MS in Cybersecurity Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
7,,17,38,IT Security Director,38.35390947,"MS in Cybersecurity Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
8,,17,39,Info Assurance Specialist,38.35390947,"MS in Cybersecurity Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
9,,17,40,Cybersecurity Analyst,38.35390947,"MS in Cybersecurity Online application <a href=""https://gradapp.yu.edu/"">Link</a> <br />"
